model,fold,bal_acc,macro_f1,auc
rf,1,0.6206140350877193,0.6255778120184899,0.692251461988304
xgb,1,0.6589912280701754,0.667578659370725,0.7090643274853801
rf,2,0.5449561403508771,0.5360512129380054,0.5975877192982456
xgb,2,0.5307017543859649,0.5135529946437267,0.5752923976608187
rf,3,0.5822368421052632,0.5846153846153846,0.6180555555555556
xgb,3,0.606359649122807,0.6050207693696947,0.6198830409356726
rf,4,0.6469298245614035,0.657125579520258,0.7361111111111112
xgb,4,0.6414473684210527,0.6461538461538462,0.7214912280701755
rf,5,0.655,0.6494720443136577,0.6757142857142857
xgb,5,0.675,0.6666666666666667,0.67
